"name"
pork
cordero
ternera
pollo
pavo
embutido
otra carne
plant based
pescado
marisco
queso
salsa
huevo
legumbre
cereales
verduras
frutas
frutos secos
pan
galletas
conservas
postre
agua
refresco
zumo
vino
cerveza
bebida alcoholica
fungible



lamb
beef
chicken
turkey
processed meat
other meat
plant-based
fish
seafood
cheese
sauce
egg
legume
cereal
vegetables
fruits
nuts
bread
cookies
canned food
dessert
water
soft drink
juice
wine
beer
alcoholic beverage
disposable items







