"name"
cerdo
cordero
ternera
pollo
pavo
embutido
otra carne
plant based
pescado
marisco
queso
salsa
huevo
legumbre
cereales
verduras
frutas
frutos secos
pan
galletas
conservas
postre
agua
refresco
zumo
vino
cerveza
bebida alcoholica
fungible
